seed,k,pool_f1,oracle_f1,est_f1
0,2,0.7777777777777778,1.0,0.5555555555555556
0,3,0.7777777777777778,1.0,0.4444444444444444
0,4,0.7777777777777778,1.0,0.4074074074074074
0,6,0.7777777777777778,1.0,0.4444444444444444
0,8,0.7777777777777778,1.0,0.48148148148148145
0,12,0.7777777777777778,1.0,0.2962962962962963
1,2,0.7777777777777778,0.9629629629629629,0.48148148148148145
1,3,0.7777777777777778,0.9629629629629629,0.4444444444444444
1,4,0.7777777777777778,0.9629629629629629,0.3333333333333333
1,6,0.7777777777777778,0.9629629629629629,0.3333333333333333
1,8,0.7777777777777778,0.9629629629629629,0.3333333333333333
1,12,0.7777777777777778,0.9629629629629629,0.48148148148148145
2,2,0.8148148148148148,0.9629629629629629,0.5925925925925926
2,3,0.8148148148148148,0.9629629629629629,0.5185185185185185
2,4,0.8148148148148148,0.9629629629629629,0.4444444444444444
2,6,0.8148148148148148,0.9629629629629629,0.3333333333333333
2,8,0.8148148148148148,0.9629629629629629,0.48148148148148145
2,12,0.8148148148148148,0.9629629629629629,0.4074074074074074
3,2,0.7407407407407407,1.0,0.5555555555555556
3,3,0.7407407407407407,1.0,0.4444444444444444
3,4,0.7407407407407407,1.0,0.4444444444444444
3,6,0.7407407407407407,1.0,0.4444444444444444
3,8,0.7407407407407407,1.0,0.3333333333333333
3,12,0.7407407407407407,1.0,0.3333333333333333
4,2,0.6666666666666666,1.0,0.4074074074074074
4,3,0.6666666666666666,1.0,0.5185185185185185
4,4,0.6666666666666666,1.0,0.37037037037037035
4,6,0.6666666666666666,1.0,0.37037037037037035
4,8,0.6666666666666666,1.0,0.37037037037037035
4,12,0.6666666666666666,1.0,0.37037037037037035
