cps,total,seed,pool_f1,pool_auc,cssi_f1,cssi_auc,mean_f1,est_f1,est_auc
20,80,0,0.48148148148148145,0.7146636432350718,0.6296296296296297,0.8841647770219199,0.5185185185185185,0.3333333333333333,0.5500755857898716
20,80,1,0.3333333333333333,0.58994708994709,0.4074074074074074,0.733371126228269,0.37037037037037035,0.2962962962962963,0.5871126228269086
20,80,2,0.4074074074074074,0.708994708994709,0.6666666666666666,0.8526077097505669,0.5925925925925926,0.25925925925925924,0.5438397581254724
20,80,3,0.48148148148148145,0.6700680272108843,0.48148148148148145,0.8023431594860166,0.48148148148148145,0.2962962962962963,0.58994708994709
20,80,4,0.4444444444444444,0.7286470143613,0.5555555555555556,0.8047996976568406,0.48148148148148145,0.2962962962962963,0.5846560846560847
50,200,0,0.7037037037037037,0.9198790627362056,0.9629629629629629,0.999244142101285,0.8518518518518519,0.4444444444444444,0.6551398337112624
50,200,1,0.6296296296296297,0.8019652305366591,0.8518518518518519,0.9784580498866213,0.7037037037037037,0.2962962962962963,0.5393046107331821
50,200,2,0.5925925925925926,0.7747543461829175,0.8888888888888888,0.972411186696901,0.7407407407407407,0.3333333333333333,0.6428571428571428
50,200,3,0.6666666666666666,0.8242630385487529,0.7777777777777778,0.9436885865457293,0.7037037037037037,0.2222222222222222,0.6164021164021164
50,200,4,0.5925925925925926,0.7947845804988662,0.8518518518518519,0.9769463340891912,0.7407407407407407,0.37037037037037035,0.6054421768707483
100,400,0,0.6296296296296297,0.8582766439909297,0.9629629629629629,0.9958427815570673,0.9629629629629629,0.37037037037037035,0.6863189720332578
100,400,1,0.7037037037037037,0.9240362811791385,1.0,1.0,0.8888888888888888,0.5185185185185185,0.8461829176114891
100,400,2,0.8888888888888888,0.9799697656840514,0.9629629629629629,0.999244142101285,0.8518518518518519,0.5555555555555556,0.801965230536659
100,400,3,0.7037037037037037,0.9395313681027966,1.0,1.0,0.8888888888888888,0.4444444444444444,0.7622826908541194
100,400,4,0.6666666666666666,0.8922902494331065,0.9629629629629629,0.9939531368102796,0.9259259259259259,0.37037037037037035,0.7131519274376417
200,800,0,0.8888888888888888,0.9890400604686318,1.0,1.0,0.9629629629629629,0.4444444444444444,0.6938775510204082
200,800,1,0.9259259259259259,0.9984882842025699,1.0,1.0,1.0,0.37037037037037035,0.7433862433862434
200,800,2,0.9259259259259259,0.991307634164777,1.0,1.0,0.9629629629629629,0.4444444444444444,0.7093726379440665
200,800,3,0.8888888888888888,0.9886621315192743,1.0,1.0,0.9629629629629629,0.5185185185185185,0.753968253968254
200,800,4,0.9629629629629629,0.9977324263038548,1.0,1.0,1.0,0.5925925925925926,0.8223733938019653
500,2000,0,0.9629629629629629,0.9984882842025699,1.0,1.0,1.0,0.5925925925925926,0.8647014361300075
500,2000,1,1.0,1.0,1.0,1.0,1.0,0.7037037037037037,0.8964474678760394
500,2000,2,0.9629629629629629,0.9996220710506425,1.0,1.0,1.0,0.6666666666666666,0.8492063492063493
500,2000,3,1.0,1.0,1.0,1.0,1.0,0.6296296296296297,0.7713529856386998
500,2000,4,1.0,1.0,1.0,1.0,1.0,0.5925925925925926,0.8745275888133031
