seed,pool_f1,cssi_f1,pool_auc,cssi_auc
0,0.9259259259259259,1.0,0.976190476190476,1.0
1,0.9629629629629629,1.0,0.9988662131519274,1.0
2,0.8888888888888888,1.0,0.9928193499622071,1.0
3,0.9259259259259259,1.0,0.9576719576719576,1.0
4,0.9629629629629629,1.0,0.999244142101285,1.0
5,0.9259259259259259,1.0,0.9947089947089947,1.0
6,0.8888888888888888,1.0,0.9950869236583523,1.0
7,0.8888888888888888,1.0,0.990551776266062,1.0
8,0.9629629629629629,1.0,0.9988662131519275,1.0
9,0.8888888888888888,1.0,0.9943310657596373,1.0
10,0.9259259259259259,1.0,0.9950869236583523,1.0
11,0.9259259259259259,1.0,0.9879062736205594,1.0
12,0.8888888888888888,1.0,0.992063492063492,1.0
13,0.8888888888888888,1.0,0.9897959183673469,1.0
14,0.9259259259259259,1.0,0.9856386999244142,1.0
15,0.9629629629629629,1.0,0.992063492063492,1.0
16,0.9259259259259259,1.0,0.9935752078609221,1.0
17,0.9259259259259259,1.0,0.9939531368102796,1.0
18,0.9629629629629629,1.0,0.9981103552532123,1.0
19,0.9259259259259259,1.0,0.9928193499622071,1.0
